X,V2,V5,WBAN
1,Baltimore/Washington International Thurgood Marshall Airport,BWI,93721
2,Charlotte Douglas International Airport,CLT,13881
3,Chicago Midway International Airport,MDW,14819
4,Chicago O'Hare International Airport,ORD,94846
5,Cincinnati Northern Kentucky International Airport,CVG,93814
6,Dallas Fort Worth International Airport,DFW,3927
7,Dallas Love Field,DAL,13960
8,Denver International Airport,DEN,3017
9,Detroit Metropolitan Wayne County Airport,DTW,94847
10,Fort Lauderdale Hollywood International Airport,FLL,12844
11,General Edward Lawrence Logan International Airport,BOS,14739
12,George Bush Intercontinental Houston Airport,IAH,12960
13,Hartsfield Jackson Atlanta International Airport,ATL,13874
14,John F Kennedy International Airport,JFK,94789
15,La Guardia Airport,LGA,14732
16,Los Angeles International Airport,LAX,23174
17,McCarran International Airport,LAS,23169
18,Minneapolis-St Paul International/Wold-Chamberlain Airport,MSP,14922
19,Nashville International Airport,BNA,13897
20,Newark Liberty International Airport,EWR,14734
21,Orlando International Airport,MCO,12815
22,Palm Beach International Airport,PBI,12844
23,Philadelphia International Airport,PHL,13739
24,Phoenix Sky Harbor International Airport,PHX,23183
25,Pittsburgh International Airport,PIT,94823
26,Ronald Reagan Washington National Airport,DCA,13743
27,San Francisco International Airport,SFO,23234
28,Southwest Florida International Airport,RSW,12844
29,Tampa International Airport,TPA,12842
30,Washington Dulles International Airport,IAD,93738
31,William P Hobby Airport,HOU,12918